id,value
tag,
tag.Mary Juane Clair,
tag.Mary Juane Clair.jazz,100
tag.Mary Juane Clair.female vocalists,100
tag.Mary Juane Clair.beautiful,57
tag.Mary Juane Clair.easy listening,57
tag.Mary Juane Clair.Love,56
tag.Mary Juane Clair.Mellow,55
tag.Mary Juane Clair.lounge,54
tag.Mary Juane Clair.smooth,53
tag.Mary Juane Clair.jazz vocal,52
tag.Mary Juane Clair.vocal jazz,52
